,Question,Answer,A,B,C,,Explaniation if needed,Category,Sub Category,File Name pulled from,,
3,"(Refer to FAA-CT-8080-2H, Figure 21, area 1.) After receiving authorization from ATC to operate a small UA near Minot International airport (MOT) while the control tower is operational, which radio communication frequency could be used to monitor manned aircraft and ATC communications?",C,UNICOM 122.95.,ASOS 118.725.,CT-118.2.,,,Operations ,Communications,"2nd rnd Practice test, Part 1 Test -Key DE,  additional Maps key",,
3,"(Refer to FAA-CT-8080-2H, Figure 21, area 2.) Which airport is located at approximately 47 degrees 41 minutes 00 seconds N latitude and 101 degrees 36 minutes 00 seconds W longitude?",A,Fischer.,Crooked Lake.,Johnson.,,,Airports & Airspace,"Overview, L & L",new 60 questions test prep,,
3,"(Refer to FAA-CT-8080-2H, Figure 21.) What airport is located approximately 47 (degrees) 40 (minutes) N latitude and 101 (degrees) 26 (minutes) W longitude?",B,Semshenko Airport.,Garrison Airport.,Mercer County Regional Airport.,,,Airports & Airspace,"Overview, L & L",Additional Airspace Maps - Key,,
3,"(Refer to FAA-CT-8080-2H, Figure 21.) You have been hired by a farmer to use your small UA to inspect his crops. The area that you are to survey is in the Devil's Lake West MOA, east of area 2. How would you find out if the MOA is active?",C,This information is available in the Small UAS database.,Refer to the Military Operations Directory.,Refer to the chart legend.,,,Airports & Airspace,"Airport Operations, MOA",2nd rnd practice test,Operations,Airport operations and traffic patterns
3,"(Refer to FAA-CT-8080-2H, Figure 22, area 2.) At Coeur D'Alene which frequency should be used as a Common Traffic Advisory Frequency (CTAF) to monitor airport traffic?",A,122.8 MHz.,135.075 MHz.,122.05 MHz.,,,Operations ,Radio Communications,2nd rnd practice test,Operations,Airport operations and traffic patterns
3,"(Refer to FAA-CT-8080-2H, Figure 22, area 2.) Weather information is available at the Coeur d'Alene (COE) Airport",B,over the VOR frequency 108.8.,from AWOS 3 135.075.,from UNICOM (CTAF) on 122.8.,,,Operations ,Radio Communications,"new 60 questions test prep, Part 1 test key - DE",Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,"(Refer to FAA-CT-8080-2H, Figure 23, area 3.) What is the floor of the Savannah Class C airspace at the shelf area (outer circle)?",A,"1,300 feet MSL.","1,700 feet MSL.","1,300 feet AGL.",,,Airports & Airspace,Airspace Classification and Operating Requirements,2nd rnd practice test,,
3,"(Refer to FAA-CT-8080-2H, Figure 23, area 4.) What is the required flight visibility for a remote pilot operating an unmanned aircraft near the Plantation Airport (JYL)?",C,5 statute miles.,1 statute mile.,3 statute miles.,,,Weather,,Part 1 Test -Key DE,,
3,"(Refer to FAA-CT-8080-2H, Figure 24, area 3, and Legend 1.) For information about the parachute operations at Tri-County Airport, refer to",B,notes on the border of the chart.,Chart Supplements U.S.,the Notices to Airmen (NOTAM) publication.,,,Airports & Airspace,Aeronautical Charts,"2nd Rnd Practice Test, Part 1 Test -Key DE",Weather and Weather Sources,TAF interpretation
3,"(Refer to FAA-CT-8080-2H, Figure 24, area 6.) What type of airport is Card Airport?",C,Public towered., Public non-towered.,Private non-towered.,,,Airports & Airspace,,2nd rnd practice test,,
3,"(Refer to FAA-CT-8080-2H, Figure 25, area 2.) What is the base of Class B airspace at Lakeview (30F) Airport?",A,3000,4000,1700,,,Airports & Airspace,"Airspace Classifications, ","new 60 questions test prep, 2nd rnd practice test",Operations,General operations
3,"(Refer to FAA-CT-8080-2H, Figure 25, area 3.) The floor of Class B airspace at Dallas Executive (RBD) is",B,at the surface.,"3,000 feet MSL.","3,100 feet MSL.",,,Airports & Airspace,"Airspace Classifications, ",2nd rnd practice test,Operations,General operations
3,"(Refer to FAA-CT-8080-2H, Figure 26, area 2.) While monitoring the Cooperstown CTAF you hear an aircraft announce that they are midfield left downwind to RWY 13. Where would the aircraft be relative to the runway?",B,The aircraft is West.,The aircraft is East.,The aircraft is South.,,,Airports & Airspace,"Airspace Classifications, ","Part 1 Test -Key DE, Additional Airspace Maps",,
3,"(Refer to FAA-CT-8080-2H, Figure 26, area 4.) You have been hired to inspect the tower under construction at 46.9N and 98.6W, near Jamestown Regional (JMS). What must you receive prior to flying your unmanned aircraft in this area?",C,Authorization from the National Park Service.,Authorization from the military.,Authorization from ATC.,,,Airports & Airspace,"Airspace Classifications, ","2nd rnd practice test, Additional Maps key",Operations,General operations
3,"(Refer to FAA-CT-8080-2H, Figure 26.) The Devils Lake East MOA (area 1) is a",C,meteorological observation area.,military observation area.,military operations area.,,,Airports & Airspace,"Airspace Classifications, MOA",new 60 questions test prep,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,"(Refer to FAA-CT-8080-2H, Figure 26.) What does the line of latitude at area 4 measure?",C,The degrees of latitude east and west of the Prime Meridian.,"The degrees of latitude east and west of the line that passes through Greenwich, England.",The degrees of latitude north and south of the equator.,,,Airports & Airspace,"Overview, L & L",2nd rnd practice test,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,"(Refer to FAA-CT-8080-2H, Figure 59, area 2.) The chart shows a gray line with VR1667, VR1617, VR1638, and VR1668. Could this area present a hazard to the operations of a small UA?",A,"Yes, this is a Military Training Route from the surface to 1,500 feet AGL.","No, all operations will be above 400 feet.","Yes, the defined route provides traffic separation to manned aircraft.",,,Airports & Airspace,"Airspace Classifications, MTR",2nd rnd practice test,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,"(Refer to FAA-CT-8080-2H, Figure 75, area 6.) The airspace surrounding the Gila Bend AF AUX Airport (GBN) is classified as",C,Class B.,Class C.,Class D.,,,Airports & Airspace,"Airspace Classifications, ",new 60 questions test prep,,
3,"(Refer to FAA-CT-8080-2H, Figure 78. Near the center of the figure.) What class of airspace is associated with SIOUX GATEWAY/COL DAY (SUX) Airport?",C,Class B airspace.,Class C airspace.,Class D airspace.,,,Airports & Airspace,"Airspace Classifications, ",2nd rnd practice test,Operations,General operations
3,"(Refer to FAA-CT-8080-2H, Figure 78.) You have been contracted to inspect towers located approximately 4NM southwest of the Sioux Gateway (SUX) airport operating an unmanned aircraft. What is the maximum altitude above ground level (AGL) that you are authorized to operate over the top of the towers?",C,400 Feet AGL.,402 feet AGL.,802 feet AGL.,,,Airports & Airspace,Airspace Classifications & operating requirements,"2nd Rnd Test Prep, new 60 questions test prep, ",Regulations,Part 107 regulations and compliance
3,"(Refer to FAA-CT-8080-2H, Figure 78.) You have been hired to use your small UAS to inspect the railroad tracks from Blencoe (SE of Sioux City) to Onawa. Will ATC authorization be required?",B,"Yes, Onawa is in Class D airspace that is designated for an airport.","No, your entire flight is in Class G airspace.","Yes, you must contact the Onawa control tower to operate within 5 miles of the airport.",,,Airports & Airspace,"Airspace Classifications, ","2nd Rnd Test Prep, Part 1 Test -Key DE, Additional Airspace Maps",Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,"(Refer to Figure 25, Area 3) The floor of Class B airspace at Dallas Executive (RBD) is",A,At the surface,"3,000 feet MSL","3,100 feet MSL",,,Airports & Airspace,Controlled vs Non controlled Airspace,"Part 1 Test - Key DE, Additional Airspace Maps - Key",Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,A local TV station has hired a remote pilot to operate their small UA to cover news stories. The remote pilot has had multiple near misses with obstacles on the ground and two small UAS accidents. What would be a solution for the news station to improve their operating safety culture?,C,The news station does not need to make any changes; there are times that an accident is unavoidable.,The news station should implement a policy of no more than five crashes/incidents within 6 months.,The news station should recognize hazardous attitudes and situations and develop standard operating procedures that emphasize safety.,,,Operations ,ADM,"2nd Rnd Test Prep, new 60 questions test prep, ",Regulations,Part 107 regulations and compliance
3,A person may not use a Remote ID broadcast module that:,C,Relies solely on a software upgrade to existing hardware on the UA.,Is installed by anyone other than the UA manufacturer.,Fails the self-test when powered on.,,,Regulations,Remote ID,2nd rnd practice test,Regulations,Part 107 regulations and compliance
3,A person whose sole task is watching the sUAS to report hazards to the rest of the crew is called:,C,Person manipulating the controls.,Remote Pilot in Command.,Visual observer.,,,Operations ,"Crew management, emergency procedures","2nd Rnd Practice Test, Part 1 Test -Key DE",Operations,General operations
3,A person without a part 107 remote pilot certificate may operate an sUAS for non-recreational operations:,B,"Alone, if operating during daylight hours.",Under the direct supervision of a Remote Pilot in Command.,Only when visual observers participate in the operation.,,,Regulations,"Overview, Operating Rules",new 60 questions test prep,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,A small unmanned aircraft without Remote ID that is equipped after production with a Remote ID broadcast module:,C,May not be operated in the National Airspace System (NAS).,May only operate at FAA-recognized identification areas (FRIAs).,Is limited to visual line of sight (VLOS) operations.,,,Regulations,Remote ID,"2nd Rnd Test Prep, Part 1 Test- Key- DE, new 60 questions test prep, ",Regulations,Part 107 regulations and compliance
3,A stall occurs when the smooth airflow over the unmanned airplane's wing is disrupted and the lift degenerates rapidly. This is caused when the wing,A,exceeds its critical angle of attack.,exceeds the maximum speed.,exceeds maximum allowable operating weight.,,,Loading & Performance,loading and performance,"2nd Rnd Practice Test, new 60 questions test prep,",Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,A sudden change in wind speed and direction is called what?,A,Wind shear.,Gust front.,Microburst.,,,weather,"effects on performance, wind",more drone prep questions,Operations,General operations
3,A TAF is for how many hours or what period of time?,C,12,24,24 or 30,,,Weather,"sources, TAF",more drone prep questions,Operations,General operations
3,A travel blogger follows her truck with an sUAS while a passenger serves as RPIC for a monetized video. Does this comply with Part 107?,A,Yes.,No.,It depends on the state.,,,Regulations,,more drone prep questions,Operations,
3,According to 14 CFR part 107 the remote pilot in command (PIC) of a small unmanned aircraft planning to operate within Class C airspace,C,is required to file a flight plan.,must use a visual observer.,is required to receive ATC authorization.,,,Airports & Airspace,"Airspace Classifications, ","Part 1 Test -Key DE, 2nd Rnd Test Prep ",Regulations,Part 107 regulations and compliance
3,"According to 14 CFR part 107, an sUAS is a unmanned aircraft system weighing:",A,Less than 55 lbs.,55 lbs.,55kg or less.,,,Regulations,Operating Rules,"2nd Rnd Test Prep, Part 1 Test -Key DE, ",Regulations,Part 107 regulations and compliance
3,"According to 14 CFR part 107, how may a Remote Pilot in Command (Remote PIC) operate an unmanned aircraft in controlled airspace (Class B, C, D, and E associated with an airport)?",B,The Remote PIC must monitor the Air Traffic Control (ATC) frequency from launch to recovery.,The Remote PIC must have prior authorization from Air Traffic Control (ATC).,The Remote PIC must contact the Air Traffic Control (ATC) facility after launching the unmanned aircraft.,,,Airports & Airspace,"Airspace Classifications, Operating Rules",new 60 questions test prep,Regulations,Part 107 regulations and compliance
3,"According to 14 CFR part 107, the responsibility to inspect the small UAS to ensure it is in a safe operating condition rests with the",A,Remote Pilot in Command.,visual observer.,owner of the sUAS.,,,Operations,"Crew Resource Management, Preflight Inspection",new 60 questions test prep,Regulations,Part 107 regulations and compliance
3,"According to 14 CFR Part 107, what is required to operate a small UA within 30 minutes after official sunset?",A,Use of anti-collision lights,Must be operated in a rural area,Use of a transponder,,,Regulations,Flying at Night,2nd rnd practice test,Aircraft Loading and Performance,"Weight, balance, and performance"
3,"According to 14 CFR part 107, what is required to operate a small unmanned aircraft in civil twilight or at night?",A,Use of lighted anti-collision lights.,Selection of a rural area for conducting the operation.,Use of a transponder.,,,Regulations,Flying over people and moving objects,"new 60 questions test prep, Part 1 test key - DE",Operations,Aeronautical decision-making and risk management
3,"According to 14 CFR part 107, what is the maximum groundspeed for a small UA?",A,87 knots.,87 mph.,100 knots.,,,Regulations,Operating Rules,"new 60 questions test prep, Part 1 test key - DE",Operations,General operations
3,"According to 14 CFR part 107, who is responsible for determining the performance of a small unmanned aircraft?",C,Owner or operator.,Manufacturer.,Remote pilot-in-command.,,,Loading & Performance,loading and performance,"2nd Rnd Test Prep, Part 1 Test -Key DE, ",Operations,General operations
3,"According to 14 CFR part 107, who is responsible for ensuring that all control links between the ground control station and the small unmanned aircraft are working properly?",B,Owner or operator.,Remote Pilot in Command.,Manufacturer.,,,Operations,Preflight Inspection,,,
3,"According to 14 CFR part 48, when must a person register a small UA with the Federal Aviation Administration?",B,When the small UA is used for any purpose other than as a model aircraft.,All civilian small UAs weighing greater than .55 pounds must be registered regardless of its intended use.,Only when the operator will be paid for commercial services.,,,Regulations,Applicability,Part 1 Test -Key DE,Regulations,Part 107 regulations and compliance
3,"According to 14 CFR part 48, when would a small UA owner not be permitted to register it?",C,If the owner does not have a valid United States driver's license.,All persons are eligible to register a small unmanned aircraft.,If the owner is less than 13 years of age.,,,Regulations,Regulations,new 60 questions test prep,Operations,General operations
3,"According to 14 CFR part 107, how may a remote pilot operate an unmanned aircraft in Class C airspace?",C,The remote pilot must monitor the Air Traffic Control (ATC) frequency from launch to recovery.,The remote pilot must contact the Air Traffic Control (ATC) facility after launching the unmanned aircraft.,The remote pilot must have prior authorization from the Air Traffic Control (ATC) facility having jurisdiction over that airspace,,,Airports & Airspace,"Airspace Classifications, ",Part 1 Test -Key DE,,
3,"After having dinner and wine, your client asks you to go outside to demonstrate the small UA's capabilities. You must",B,pass a self-administered sobriety test before operating a small UA.,not operate a small UA within 8 hours of consuming any alcoholic beverage.,ensure that your visual observer has not consumed any alcoholic beverage in the previous 12 hours.,,,Regulations,"Operating Rules, Alcohol",2nd rnd practice test,Weather and Weather Sources,General weather concepts
3,"After receiving a part 107 remote pilot certificate with an sUAS rating, how often must you satisfy recurrent training requirements?",B,Within 12 calendar months.,Within 6 calendar months.,Within 24 calendar months.,,,Regulations,Operating rules,"2nd Rnd Practice Test, Part 1 Test -Key DE,",Operations,General operations
3,"As landing an sUAS at night is particularly challenging, select a landing area:",C,That is as far from crewmembers as possible.,"Over water, sand, or other soft surface.",With sufficient lighting to allow a safe landing.,,,Operations ,"night operations, ADM","2nd Rnd Test Prep, Part 1 Test -Key DE, ",Operations,General operations
3,"As part of an overall safety risk assessment for flight, when should the Remote Pilot in Command check and consider weather conditions in the operating area?",A,Prior to and throughout the duration of every small UAS flight.,Only when planning an operation with unfamiliar small UAS equipment.,Never. Weather factors cannot influence small UAS performance.,,,Operations ,"Operational Rules, Preflight","2nd Rnd practice test, new 60 questions test prep, Part 1 test key - DE",Operations,General operations
3,"Before each flight, the Remote Pilot in Command must ensure that:",A,Objects carried on the sUAS are secure.,The site supervisor has approved the flight.,TSA has granted clearance.,,,Loading & Performance,loading and performance,"2nd Rnd Practice Test, Part 1 Test - Key - DE",Operations,General operations
3,Category 4 operations are limited to unmanned aircraft:,B,Operated beyond visual line-of-sight.,With FAA-issued airworthiness certificates.,Registered outside the United States.,,,Regulations,Flying over people and moving objects,"2nd Rnd practice test, new 60 questions test prep, Part 1 test key - DE",Operations,General operations
3,Damaged lithium batteries can cause,B,increased endurance.,an inflight fire.,a change in aircraft center of gravity.,,,Operations ,Maintenance & Inspection Procedures,new 60 questions test prep,Operations,General operations
3,"During a flight of your small UA, you observe a hot air balloon entering the area. You should",A,yield the right-of-way to the hot air balloon.,"ensure the UA passes below, above, or ahead of the balloon.",expect the hot air balloon to climb above your altitude.,,,Regulations,Operating Rules,tricky questions,,
3,"During an inspection flight, you notice that objects that are closer to the drone appear to be moving across your visual field faster than distant objects that are not moving as fast. What phenomenon are you observing?",B,Optical illusion unrelated to depth perception.,"Motion parallax, which helps judge relative distance.",Standard depth perception that is unaffected by movement.,,,Operations,Physiological factors,Part 1 Test -Key DE,Regulations,Part 107 regulations and compliance
3,"During night operations, compensate for the night blind spot by:",A,Looking 5° to 10° off-center of the sUAS.,Using bright ground lighting around the Remote PIC.,Focusing only on the control station display.,,,Operations ,"Physiological, ADM","2nd Rnd Test Prep, new 60 questions test prep,",Operations,General operations
3,"During your preflight inspection, you discover a small nick in the casing of your small UAS battery. What action should you take?",B,Use it as long as it will still hold a charge.,Follow the manufacturer's guidance.,Throw it away with your household trash.,,,Operations ,Operations and Procedures,"2nd Rnd Test Prep, new 60 questions test prep, Part 1 test key - DE, ",Operations,General operations
3,"For Category 1, 2, and 4 operations over people, sustained flight over open air assemblies are restricted to small unmanned aircraft that:",B,Are operated at FAA-recognized identification areas (FRIAs).,Meet part 89 Remote ID requirements.,Weigh more than 55 pounds.,,,Regulations,Flying over people and moving objects,new 60 questions test prep,Operations,Aeronautical decision-making and risk management
3,"For Category 2 operations over people, the small unmanned aircraft:",B,Must be equipped with a siren to alert persons who are not directly involved in the operation.,Must not contain any exposed rotating parts that could lacerate human skin.,May only be operated in a closed or restricted-access site.,,,Regulations,Flying over people and moving objects,"new 60 questions test prep, Part 1 test key - DE",Weather and Weather Sources,Density altitude & performance
3,"For Category 3 operations over people, the small unmanned aircraft must not cause injury equivalent to or greater than the impact of:",A,25 foot-pounds of kinetic energy.,5 foot-pounds of kinetic energy.,11 foot-pounds of kinetic energy.,,,Regulations,Flying over people and moving objects,Part 1 Test -Key DE,Operations,General operations
3,How does high humidity affect drone performance?,A,Reduce lift,Increase lift,No effect,,,Weather,"effects on performance, humidity",TAF Quiz- key,Weather and Weather Sources,General weather concepts
3,How does increasing the bank angle in a turn affect stall speed?,B,Stall speed decreases.,Stall speed increases.,Stall speed is unaffected.,,,Loading & Performance,loading and performance,more drone prep questions,Weather and Weather Sources,General weather concepts
3,Identify the hazardous attitude or characteristic a remote pilot displays while taking risks in order to impress others?,A,Macho.,Invulnerability.,Impulsivity.,,,Operations ,ADM,"2nd rnd practice test, new 60 questions test prep, Part 1 Test- Key -DE",Regulations,Part 107 regulations and compliance
3,"If the outside air temperature (OAT) at a given altitude is warmer than standard, the density altitude is",C,equal to pressure altitude.,lower than pressure altitude.,higher than pressure altitude.,,,Weather,"effects on performance, air density","new 60 questions test prep, 2nd Rnd Test Prep",Regulations,Part 107 regulations and compliance
3,"If the Remote PIC cannot determine the location of the sUAS in relation to other aircraft during night operations, when should he or she land the sUAS?",B,Within 10 minutes.,Immediately.,At the end of the planned operation.,,,Operations ,"ADM, Emergency procedures","new 60 questions test prep, Part 1 test key - DE",,
3,"In accordance with 14 CFR part 107, you may operate an sUAS from a moving vehicle when no property is carried for compensation or hire:",A,Over a sparsely populated area.,Over a parade or other social events.,Over suburban areas.,,,Regulations,Operating Rules,new 60 questions test prep,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,Is it mandatory for sUAS operators to monitor CTAF at non-towered airports?,C,"Yes, always",Only during daylight hours,"No, but it is recommended",,,Operations,Radio Communications,Part 1 Test -Key DE,Operations,Airport operations and traffic patterns
3,Part 107 applies to which operations?,B,Civil and public small UAS operations.,Civil small UAS operations.,Public UAS operations.,,,Regulations,Operating Rules,more drone prep questions,Regulations,Part 107 regulations and compliance
3,Part 89 Remote Identification (Remote ID) requirements:,B,Only apply to unmanned aircraft that weigh less than 0.55 lbs.,Apply to all unmanned aircraft operating under part 107.,Do not apply to unmanned aircraft.,,,Regulations,Remote ID,"2nd Rnd Test Prep, Part 1 Test -Key DE, ",Operations,General operations
3,"Refer to FAA-CT-8080-2H, Figure 21, area 1.) After receiving authorization from ATC to operate a small UA near Minot International airport (MOT) while the control tower is operational, which radio communication frequency could be used to monitor manned aircraft and ATC communications?",C,UNICOM 122.95.,ASOS 118.725.,CT-118.2.,,,Operations ,Communications,"2nd rnd Practice test, Part 1 Test -Key DE,  additional Maps key",Regulations,Part 107 regulations and compliance
3,"Refer to FAA-CT-8080-2H, Figure 75 area 6. During preflight planning you plan to operate in R-2305, where would you find additional info regarding this airspace?",B,In the special Use Airspace of the chart.,,,,,Airports & Airspace,"airspace classifications, Restricted areas","new 60 questions test prep, Airports & Airspace Test - key",Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
3,"Refer to FAA-CT-8080-2H, figure 21 Area 1. At what altitude above the radio tower south of Minot Intl Airport may you fly?",C,700 ft MSL.,"2,579 ft AGL.",798 ft AGL.,,,Airports & Airspace,"Airspace Classifications, Operating Rules",more drone prep questions,Regulations,Part 107 regulations and compliance
3,"Refer to FAA-CT-8080-2H,  figure 22. While inspecting the obstacle located 3 miles northwest of Coeur D'Alene-Boyington Airport, what is the highest altitude AGL you can fly?",B,"2,429 feet AGL, the height of the obstacle.",400 feet above the ground.,400 feet above the top of the obstacle if you stay within 400 feet horizontally.,,,Airports & Airspace,"Airspace Classifications, sectional charts",more drone prep questions,Regulations,Part 107 regulations and compliance
3,"Safety is an important element for a remote pilot to consider prior to operating an unmanned aircraft system. To prevent the final ""link"" in the accident chain, a remote pilot must consider which methodology?",B,Safety Management System.,Risk Management.,Crew Resource Management.,,,Operations ,ADM,Part 1 Test -Key DE,Operations,Airport operations and traffic patterns
3,Scheduled maintenance should be performed in accordance with the:,C,Contractor requirements.,Stipulations in 14 CFR part 43.,Manufacturer’s recommendations.,,,Operations ,Maintenance & Inspection Procedures,"2nd Rnd Test Prep, Part 1 Test -Key DE, 60 questions test prep,",Operations,General operations
3,The FAA may approve your application for a waiver of provisions in part 107 only when it has been determined that the proposed operation:,C,Involves public aircraft or air carrier operations.,Will be conducted outside of the United States.,Can be safely conducted under the terms of that certificate of waiver.,,,Regulations,Waivers,"2nd Rnd Test Prep, new 60 questions test prep, Part 1 test key - DE, ",Aircraft Loading and Performance,"Weight, balance, and performance"
3,The most comprehensive source of airport information is,A,Chart Supplement U.S.,Aeronautical charts,Notices to Airmen (NOTAMs),,,Airports & Airspace,Airports data sources,"new 60 questions test prep, Airports & Airspace Test - key",Operations,General operations
3,The refusal of a remote PIC to submit to a blood alcohol test when requested by a law enforcement officer,A,is grounds for suspension or revocation of their remote pilot certificate.,can be delayed for a period up to 8 hours after the request.,has no consequences to the remote pilot certificate.,,,Regulations,"Operating Rules, Alcohol",,,
3,The U.S. Air Force is operating an atmospheric research sUAS over Texas oil fields. Must it comply with Part 107?,B,Yes.,No.,Only if carrying property for hire.,,,Regulations,Operational Rules,more drone prep questions,Operations,General operations
3,"To conduct Category 1 operations over people, the small unmanned aircraft:",A,"Must weigh 0.55 pounds or less, including everything that is on board or attached.",Must be listed in an FAA-approved Declaration of Compliance (DoC).,Must be labeled to indicate the eligible category.,,,Regulations,Flying over people and moving objects,2nd rnd practice test,Operations,General operations
3,"To ensure that the unmanned aircraft center of gravity (CG) limits are not exceeded, follow the aircraft loading instructions specified in the",A,Pilot's Operating Handbook or UAS Flight Manual.,Aeronautical Information Manual (AIM).,Aircraft Weight and Balance Handbook.,,,Loading & Performance,loading and performance,new 60 questions test prep,Operations,General operations
3,"To keep the small unmanned aircraft in the intended area and within visual line-of-sight (VLOS) during night operations, the Remote Pilot in Command:",B,May rely solely on anti-collision lights.,Should reduce operational ranges.,Is required to designate two visual observers.,,,Operations ,"Night Flying, ADM","new 60 questions test prep, Part 1 test key - DE",Operations,General operations
3,Under what condition should the Remote Pilot in Command of a small unmanned aircraft develop his or her own scheduled maintenance protocol?,C,Small unmanned aircraft systems do not require maintenance.,"When the FAA requires you to, following an accident.",When the manufacturer does not provide a maintenance schedule.,,,Operations ,"Operations, Maintenance & Inspection Procedures",,Operations,General operations
3,Under what condition would a small UA not have to be registered before it is operated in the United States?,A,"When the aircraft weighs less than .55 pounds on takeoff, including everything that is on-board or attached to the aircraft.","When the aircraft has a takeoff weight that is more than .55 pounds, but less than 55 pounds, not including fuel and necessary attachments.","All small UAS need to be registered regardless of the weight of the aircraft before, during, or after the flight.",,,Regulations,Operations,2nd rnd practice test,Operations,General operations
3,Unmanned aircraft means an aircraft operated:,C,Autonomously by onboard computers.,During search and rescue operations other than public.,Without the possibility of direct human intervention from within or on the aircraft.,,,Regulations,"Regulations, Operational Rules, Autonomous","new 60 questions test prep, Part 1 test key - DE",,
3,"Upon request by the FAA, the remote pilot-in-command must provide",B,a logbook documenting small UA landing currency.,a remote pilot certificate with a small UAS rating.,any employer issued photo identification.,,,Regulations,"Regulations, Operational Rules",Part 1 Test -Key DE,Operations,General operations
3,What actions should the operator of an sUAS do if the manufacturer does not provide information about scheduled maintenance?,B,The operator should contact the FAA for a minimum equipment list.,The operator should establish a scheduled maintenance protocol.,The operator should contact the NTSB for component failure rates for their specific sUAS.,,,Operations ,Maintenance & Inspection Procedures,"Part 1 Test -Key DE, 2nd Rnd Test Prep",Operations,General operations
