row,disposition,unit_ref,category,sub_category,note,question
33,imported,u3,Airports & Airspace,Controlled vs Non controlled Airspace,,"(Refer to Figure 25, Area 3) The floor of Class B airspace at Dallas Executive (RBD) is"
34,imported,u9,Operations,ADM,,A local TV station has hired a remote pilot to operate their small UA to cover news stories. The remote pilot has had multiple near misses w
35,imported,u1,Regulations,Remote ID,,A person may not use a Remote ID broadcast module that:
36,imported,u8,Operations,"Crew management, emergency procedures",,A person whose sole task is watching the sUAS to report hazards to the rest of the crew is called:
37,imported,u1,Regulations,"Overview, Operating Rules",,A person without a part 107 remote pilot certificate may operate an sUAS for non-recreational operations:
38,imported,u1,Regulations,Remote ID,,A small unmanned aircraft without Remote ID that is equipped after production with a Remote ID broadcast module:
39,imported,u7,Loading & Performance,loading and performance,,A stall occurs when the smooth airflow over the unmanned airplane's wing is disrupted and the lift degenerates rapidly. This is caused when 
40,imported,u6,weather,"effects on performance, wind",,A sudden change in wind speed and direction is called what?
41,imported,u5,Weather,"sources, TAF",,A TAF is for how many hours or what period of time?
42,imported,u1,Regulations,,,A travel blogger follows her truck with an sUAS while a passenger serves as RPIC for a monetized video. Does this comply with Part 107?
43,imported,u3,Airports & Airspace,"Airspace Classifications,",,According to 14 CFR part 107 the remote pilot in command (PIC) of a small unmanned aircraft planning to operate within Class C airspace
44,imported,u1,Regulations,Operating Rules,,"According to 14 CFR part 107, an sUAS is a unmanned aircraft system weighing:"
45,imported,u3,Airports & Airspace,"Airspace Classifications, Operating Rules",,"According to 14 CFR part 107, how may a Remote Pilot in Command (Remote PIC) operate an unmanned aircraft in controlled airspace (Class B, C"
46,imported,u9,Operations,"Crew Resource Management, Preflight Inspection",,"According to 14 CFR part 107, the responsibility to inspect the small UAS to ensure it is in a safe operating condition rests with the"
47,imported,u1,Regulations,Flying at Night,,"According to 14 CFR Part 107, what is required to operate a small UA within 30 minutes after official sunset?"
48,imported,u1,Regulations,Flying over people and moving objects,,"According to 14 CFR part 107, what is required to operate a small unmanned aircraft in civil twilight or at night?"
49,imported,u1,Regulations,Operating Rules,,"According to 14 CFR part 107, what is the maximum groundspeed for a small UA?"
50,imported,u7,Loading & Performance,loading and performance,,"According to 14 CFR part 107, who is responsible for determining the performance of a small unmanned aircraft?"
51,imported,u9,Operations,Preflight Inspection,,"According to 14 CFR part 107, who is responsible for ensuring that all control links between the ground control station and the small unmann"
52,imported,u1,Regulations,Applicability,,"According to 14 CFR part 48, when must a person register a small UA with the Federal Aviation Administration?"
53,imported,u1,Regulations,Regulations,,"According to 14 CFR part 48, when would a small UA owner not be permitted to register it?"
54,imported,u3,Airports & Airspace,"Airspace Classifications,",,"According to 14 CFR part 107, how may a remote pilot operate an unmanned aircraft in Class C airspace?"
55,imported,u1,Regulations,"Operating Rules, Alcohol",,"After having dinner and wine, your client asks you to go outside to demonstrate the small UA's capabilities. You must"
56,imported,u1,Regulations,Operating rules,,"After receiving a part 107 remote pilot certificate with an sUAS rating, how often must you satisfy recurrent training requirements?"
57,imported,u9,Operations,"night operations, ADM",,"As landing an sUAS at night is particularly challenging, select a landing area:"
58,imported,u9,Operations,"Operational Rules, Preflight",,"As part of an overall safety risk assessment for flight, when should the Remote Pilot in Command check and consider weather conditions in th"
59,imported,u7,Loading & Performance,loading and performance,,"Before each flight, the Remote Pilot in Command must ensure that:"
60,imported,u1,Regulations,Flying over people and moving objects,,Category 4 operations are limited to unmanned aircraft:
61,imported,u9,Operations,Maintenance & Inspection Procedures,,Damaged lithium batteries can cause
62,imported,u1,Regulations,Operating Rules,,"During a flight of your small UA, you observe a hot air balloon entering the area. You should"
63,imported,u9,Operations,Physiological factors,,"During an inspection flight, you notice that objects that are closer to the drone appear to be moving across your visual field faster than d"
64,imported,u9,Operations,"Physiological, ADM",,"During night operations, compensate for the night blind spot by:"
65,imported,u9,Operations,Operations and Procedures,,"During your preflight inspection, you discover a small nick in the casing of your small UAS battery. What action should you take?"
66,imported,u1,Regulations,Flying over people and moving objects,,"For Category 1, 2, and 4 operations over people, sustained flight over open air assemblies are restricted to small unmanned aircraft that:"
67,imported,u1,Regulations,Flying over people and moving objects,,"For Category 2 operations over people, the small unmanned aircraft:"
68,imported,u1,Regulations,Flying over people and moving objects,,"For Category 3 operations over people, the small unmanned aircraft must not cause injury equivalent to or greater than the impact of:"
69,imported,u6,Weather,"effects on performance, humidity",,How does high humidity affect drone performance?
70,imported,u7,Loading & Performance,loading and performance,,How does increasing the bank angle in a turn affect stall speed?
71,imported,u9,Operations,ADM,,Identify the hazardous attitude or characteristic a remote pilot displays while taking risks in order to impress others?
72,imported,u6,Weather,"effects on performance, air density",,"If the outside air temperature (OAT) at a given altitude is warmer than standard, the density altitude is"
73,imported,u8,Operations,"ADM, Emergency procedures",,"If the Remote PIC cannot determine the location of the sUAS in relation to other aircraft during night operations, when should he or she lan"
74,imported,u1,Regulations,Operating Rules,,"In accordance with 14 CFR part 107, you may operate an sUAS from a moving vehicle when no property is carried for compensation or hire:"
75,imported,u10,Operations,Radio Communications,,Is it mandatory for sUAS operators to monitor CTAF at non-towered airports?
76,imported,u1,Regulations,Operating Rules,,Part 107 applies to which operations?
77,imported,u1,Regulations,Remote ID,,Part 89 Remote Identification (Remote ID) requirements:
78,imported,u10,Operations,Communications,,"Refer to FAA-CT-8080-2H, Figure 21, area 1.) After receiving authorization from ATC to operate a small UA near Minot International airport ("
79,needs_review,,Airports & Airspace,"airspace classifications, Restricted areas","answer=B, choices=1","Refer to FAA-CT-8080-2H, Figure 75 area 6. During preflight planning you plan to operate in R-2305, where would you find additional info reg"
80,imported,u3,Airports & Airspace,"Airspace Classifications, Operating Rules",,"Refer to FAA-CT-8080-2H, figure 21 Area 1. At what altitude above the radio tower south of Minot Intl Airport may you fly?"
81,imported,u3,Airports & Airspace,"Airspace Classifications, sectional charts",,"Refer to FAA-CT-8080-2H,  figure 22. While inspecting the obstacle located 3 miles northwest of Coeur D'Alene-Boyington Airport, what is the"
82,imported,u9,Operations,ADM,,"Safety is an important element for a remote pilot to consider prior to operating an unmanned aircraft system. To prevent the final ""link"" in"
83,imported,u9,Operations,Maintenance & Inspection Procedures,,Scheduled maintenance should be performed in accordance with the:
84,imported,u1,Regulations,Waivers,,The FAA may approve your application for a waiver of provisions in part 107 only when it has been determined that the proposed operation:
85,imported,u2,Airports & Airspace,Airports data sources,,The most comprehensive source of airport information is
86,imported,u1,Regulations,"Operating Rules, Alcohol",,The refusal of a remote PIC to submit to a blood alcohol test when requested by a law enforcement officer
87,imported,u1,Regulations,Operational Rules,,The U.S. Air Force is operating an atmospheric research sUAS over Texas oil fields. Must it comply with Part 107?
88,imported,u1,Regulations,Flying over people and moving objects,,"To conduct Category 1 operations over people, the small unmanned aircraft:"
89,imported,u7,Loading & Performance,loading and performance,,"To ensure that the unmanned aircraft center of gravity (CG) limits are not exceeded, follow the aircraft loading instructions specified in t"
90,imported,u9,Operations,"Night Flying, ADM",,"To keep the small unmanned aircraft in the intended area and within visual line-of-sight (VLOS) during night operations, the Remote Pilot in"
91,imported,u9,Operations,"Operations, Maintenance & Inspection Procedures",,Under what condition should the Remote Pilot in Command of a small unmanned aircraft develop his or her own scheduled maintenance protocol?
92,imported,u1,Regulations,Operations,,Under what condition would a small UA not have to be registered before it is operated in the United States?
93,imported,u1,Regulations,"Regulations, Operational Rules, Autonomous",,Unmanned aircraft means an aircraft operated:
94,imported,u1,Regulations,"Regulations, Operational Rules",,"Upon request by the FAA, the remote pilot-in-command must provide"
95,imported,u9,Operations,Maintenance & Inspection Procedures,,What actions should the operator of an sUAS do if the manufacturer does not provide information about scheduled maintenance?
96,imported,u9,Operations,ADM,,What antidotal phrase can help reverse the hazardous attitude of impulsivity?
97,imported,u6,Weather,"effects on performance, atmosheric stability",,"What are characteristics of a moist, unstable air mass?"
98,imported,u6,Weather,"effects on performance, atmosheric stability",,What are the characteristics of stable air?
99,imported,u6,weather,"effects on performance, thunderstorms",,What cloud type signals thunderstorms and severe turbulence?
100,imported,u6,Weather,"effects on performance, thunderstorms",,What conditions are necessary for the formation of thunderstorms?
101,imported,u9,Operations,,,What distinguishes a towered airport from a non-towered airport?
102,imported,u6,weather,"effects on performance, atmosheric stability",,What effect does high density altitude have on the efficiency of a UA propeller?
103,imported,u10,Operations,Radio Communications,,What frequency is used at non-towered airports for pilots to announce their intentions?
104,imported,u9,Operations,Physiological factors,,What happens when using off-center viewing at night?
105,imported,u6,Weather,"effects on performance, temp inversion",,What is a temperature inversion?
106,imported,u6,Weather,"effects on performance, air density",,What is the effect of humidity on air density?
107,imported,u7,Loading & Performance,loading and performance,,"What is the relationship of lift, drag, thrust, and weight when the airplane is in straight-and-level flight?"
108,imported,u1,Regulations,Remote ID,,"What must a person, who is manipulating the controls of a small unmanned aircraft, do if the standard remote identification fails during a f"
109,imported,u9,Operations,"Operations, Maintenance and Procedures",,What precautions should a remote PIC do to prevent possible inflight emergencies when using lithium-based batteries?
110,imported,u6,Weather,"effects on performance, humidity",,What type of front often brings thunderstorms and gusty winds?
111,imported,u5,weather,"Sources, Metar",,What type of report provides real-time weather observations?
112,imported,u6,Weather,"effects on performance, atmosheric stability",,What would decrease the stability of an air mass?
113,imported,u4,Airports & Airspace,Airport Classificatons,,"When a control tower located on an airport within Class D airspace ceases operation for the day, what happens to the airspace designation?"
114,imported,u9,Operations,CRM,,When a remote pilot-in-command and a visual observer define their roles and responsibilities prior to and during the operation of a small UA
115,imported,u9,Operations,"ADM, CRM",,"When adapting crew resource management (CRM) concepts to the operation of a small UA, CRM must be integrated into"
116,imported,u1,Regulations,"Operating Rules, Twilight",,"When conducting operations during civil twilight or at night, the small unmanned aircraft must be equipped with anti-collision lights that a"
117,imported,u1,Regulations,Flying at Night,,When does a Remote Pilot in Command operating at night have the discretion to reduce the intensity of the anti-collision lighting?
118,imported,u7,Loading & Performance,loading and performance,,"When loading cameras or other equipment on a small UAS, mount the items in a manner that"
119,imported,u7,Loading & Performance,loading and performance,,"When operating an unmanned airplane, the remote pilot should consider that the load factor on the wings may be increased any time"
120,imported,u9,Operations,"Night operations, ADM",,"When preparing for a night flight, what should an sUAS pilot be aware of after assembling and conducting a preflight of an aircraft while us"
121,imported,u1,Regulations,Waivers,,"When requesting a waiver, the required documents should be presented to the FAA at least how many calendar days prior to the planned operati"
122,imported,u8,Operations,"Crew management, emergency procedures",,"When using a small unmanned aircraft in a non-recreational operation, who is responsible for informing the participants about emergency proc"
123,imported,u1,Regulations,,,Where must a small unmanned aircraft's serial number be listed when using either standard remote identification or a broadcast module?
124,imported,u4,Airports & Airspace,Airport Classificatons,,Which airspace types require authorization before flying under Part 107?
125,imported,u1,Regulations,"Waivers, DOC",,Which best describes a declaration of compliance?
126,imported,u6,weather,"effects on performance, atmosheric stability",,Which combination of atmospheric conditions will reduce aircraft takeoff and climb performance?
127,imported,u1,Regulations,"Operational Rules,Medication",,Which is NOT prohibited when operating under Part 107?
128,imported,u1,Regulations,"Operational Rules, Alcohol",,Which is true regarding the presence of alcohol within the human body?
129,imported,u1,Regulations,Applicability,,Which of the following operations require adherence to 14 CFR 107?
130,imported,u1,Regulations,Overview,,Which of the following statements is TRUE about small unmanned aircraft registration with the FAA before operation in the National Airspace 
131,skipped_duplicate,,Regulations,Overview,first seen at row 130,Which of the following statements is TRUE about small unmanned aircraft registration with the FAA before operation in the National Airspace 
132,skipped_duplicate,,Regulations,Overview,first seen at row 130,Which of the following statements is TRUE about small unmanned aircraft registration with the FAA before operation in the National Airspace 
133,imported,u1,Regulations,Applicability,,Which of the following types of operations are excluded from the requirements in part 107?
134,imported,u9,Operations,Crew Resource Management,,Which statement about visual observers under Part 107 is true?
135,imported,u9,Operations,ADM,,Which technique should a remote pilot use to scan for traffic? A remote pilot should
136,imported,u5,weather,"Sources, TAF",,Which tool provides an aviation-specific forecast?
137,imported,u6,weather,"effects on performance, thunderstorms",,Which weather condition is most hazardous for drones?
138,imported,u5,Weather,"Sources, Metar",,Which weather reports provide real-time observations?
139,imported,u3,Airports & Airspace,"Airspace Classifications, Operating Rules",,"While conducting an aerial survey of a Class D airport, ATC instructs you to remain clear of all runways. How do you identify when you are c"
140,imported,u1,Regulations,Operating Rules,,"While operating a small unmanned aircraft system (sUAS), you experience a flyaway and several people suffer injuries. Which of the following"
141,imported,u6,Weather,"effects on performance, wind",,"While operating around buildings, the Remote Pilot in Command should be aware of the creation of wind gusts that"
142,imported,u1,Regulations,"Operational Rules, Accident",,"While operating your small UA, it accidentally strikes your crewmember in the head causing him to lose consciousness. When should this accid"
143,imported,u6,weather,Frost,,Why is frost considered hazardous to flight?
144,imported,u1,Regulations,,,Within how many calendar days must a small UAS accident be reported to the FAA?
145,imported,u9,Operations,ADM,,You are a remote pilot for a co-op energy service provider. You are to use your UA to inspect power lines in a remote area 15 hours away fro
146,imported,u9,Operations,ADM,,You have been hired as a Remote Pilot in Command by a local TV news station to film breaking news with a small unmanned aircraft. You expres
147,imported,u6,weather,Temperature Inversion,,You have received an outlook briefing from flight service through 1800wxbrief.com. The briefing indicates you can expect a low-level tempera
148,imported,u1,Regulations,Operational Rules,,You plan to release golf balls from your small UA at an altitude of 100 feet AGL. You must ensure the objects being dropped will
149,imported,u6,Weather,"effects on performance, obstructions, clouds",,You’re flying near mountains and there are lenticular clouds. What kind of weather should you expect?
150,imported,u9,Operations,Crew Resource Management,,You're flying a mission and you need to hand over the controls to another certified remote pilot. What must occur?
151,imported,u9,Operations,,,You're flying near an aircraft broadcasting ADS-B Out signals. What is required of your drone?
152,imported,u6,Weather,"effects on performance, mountain",,You're planning to fly a fixed-wing unmanned aircraft from a high mountain plateau on a hot summer day. What should you consider?
154,imported,u6,Weather,"effects on performance, clouds",,The two types of clouds that unmanned aircraft operators should be concerned about are:
155,imported,u3,Airports & Airspace,Controlled vs Non controlled Airspace,,"(Refer to FAA-CT-8080-2H, Figure 22, South of Area 1) You have been hired to inspect the railroad near Cocolalla. Do you need ATC approval?"
156,imported,u3,Airports & Airspace,Class D,,"(Refer to FAA-CT-8080-2H, figure 24, Northeast of area 1) What is the ceiling of Class D Airspace surrounding Majors (GVT) airport?"
157,imported,u7,Loading & Performance,loading and performance,,What happens to the stalling speed of an aircraft as the load factor increases?
158,imported,u7,Loading & Performance,loading and performance,,What is the primary concern for an RPIC when loading a payload onto an aircraft?
159,imported,u7,Loading & Performance,loading and performance,,What is the primary factor that determines the load factor experienced by an aircraft during a turn?
160,imported,u7,Loading & Performance,loading and performance,,What is the relationship between the load factor and the stalling speed of an aircraft?
161,imported,u6,Weather,"effects on performance, humidity",,"With a low-level temperature inversion with high relative humidity, what weather conditions would you expect?"
162,imported,u3,Airports & Airspace,"airspace classifications, MOA",,"Before flying in a military operations area, an sUAS operator should do what to find out if it is active?"
163,imported,u2,Airports & Airspace,Aeronautical Charts,,How often are sectional charts covering the continental U.S. updated?
164,needs_review,,Airports & Airspace,"airspace classifications, Restricted areas","answer=B, choices=1","Refer to FAA-CT-8080-2H, Figure 75 area 6. During preflight planning you plan to operate in R-2305, where would you find additional info reg"
165,imported,u2,Airports & Airspace,Airports data sources,,Which of the following is not a source of airport data?
166,imported,u10,Operations,Radio Communications Procedures,,"When near a non-towered airport, an sUAS operator should monitor what frequency?"
167,imported,u2,Airports & Airspace,general,,An aircraft announces they are on the short final of a RWY 36. Where is the aircraft in relation to the airport?
168,imported,u3,Airports & Airspace,Controlled vs Non controlled Airspace,,"(Refer to FAA-CT-8080-2G, Figure 23) What’s the lower altitude limit of Class E airspace at Statesboro Bulloch County Airport (TBR)?"
169,imported,u6,Weather,"effects on performance, atmosheric stability",,A stable air mass is most likely to have which characteristic
170,imported,u1,Regulations,Waivers,,How far in advance should waiver applications be submitted?
171,imported,u1,Regulations,"Operational Rules, Transportation of property",,"Under Part 107, which of the following is permitted when transporting property for compensation or hire?"
172,imported,u1,Regulations,Operational Rules,,What is the maximum allowable groundspeed for sUAS?
173,imported,u5,Weather,"sources, TAF",,"(Refer to Figure 15,  FAA-CT-8080-2H) According to the TAF, what type of weather is expected from 1220Z to 1222Z?"
174,imported,u5,Weather,"sources, TAF",,"(Refer to figure 15,  FAA-CT-8080-2H)  What does ""BECMG 0522/0524 20013G20KT"" indicate?"
175,imported,u5,Weather,"sources, TAF",,"(Refer to figure 15,  FAA-CT-8080-2H)  What does ""P6SM SCT040"" mean in the forecast starting at 0608Z?"
176,imported,u1,Regulations,Operational rules,,"During a survey flight, you realize that your drone is flying over a crowd of people or bystanders for a few seconds. What is your immediate"
177,imported,u6,weather,effects on Performance,,"While conducting a drone inspection near an industrial facility, you observe a smoke stack flume that is rapidly rising, breaking apart, and"
178,imported,u3,Airports & Airspace,"Airspace Classifications, Operating Rules",,"While flying your aerial survey, you notice a TFR over a stadium due to a major sporting event and your flight path intersects it. What must"
179,imported,u1,Regulations,Operational Rules,,You are conducting an inspection of a communication tower that rises 550 ft AGL. You fly directly next to it and climb to 750 ft AGL within 
180,imported,u1,Regulations,Operational Rules,,You are currently at 350 ft AGL. The clouds appear to be at 500 ft AGL. Visibility is good. What must you do to comply with Part 107 rules?
181,imported,u1,Regulations,Operational Rules,,You are monitoring your drone exclusively through the onboard camera feed. Is this compliant with Part 107?
182,imported,u1,Regulations,Remote ID,,You are using a drone that does not have built-in Remote ID capabilities. What must you do to comply with regulations?
183,imported,u9,Operations,Physiological factors,,"You have been under persistent work-related stress for several months, which is starting to affect your focus during drone operations. What "
184,imported,u3,Airports & Airspace,Airspace Classifications,,You want to fly a drone near a regional airport where the sectional chart shows Class E airspace starting at the surface at 300 ft AGL. What
185,imported,u1,Regulations,Flying at Night,,You're conducting a night flight with a visual observer (VO). Which of the following is required for a safe operation?
186,imported,u1,Regulations,Operational Rules,,You're flying your drone near an airport and you notice a manned aircraft approaching your area at a lower altitude than expected. What shou
187,imported,u3,Airports & Airspace,Airspace Classifications,,You're planning a flight in a rural area. The sectional chart shows Class G airspace at the surface. What must you do before flying?
188,imported,u6,weather,"effects on performance, air density alt, pressure",,"A remote pilot plans to operate a small UAS from a high-elevation airport on a hot, humid afternoon. What should the pilot expect?"
189,imported,u6,weather,"effects on performance, air density alt, pressure",,An increase in atmospheric pressure will result in:
190,imported,u6,weather,"effects on performance, air density alt, pressure",,"An increase in humidity, with all other factors constant, will cause density altitude to:"
191,imported,u6,weather,"effects on performance, Density Altititude",,"As density altitude increases, what happens to UAS performance?"
192,imported,u6,Weather,"effects on performance, humidity",,"As humidity increases, air density decreases."
193,imported,u6,weather,"effets on performance, air density alt, pressure",,"If the actual temperature is higher than standard at a given airport, what is the effect on density altitude?"
194,imported,u6,weather,"effects on performance, density altitude",,What happens to air pressure and air density as altitude increases?
195,imported,u6,weather,effects on performance,,What is the standard sea-level atmospheric pressure according to the ISA?
196,imported,u6,Weather,"effects on performance, standard temp",,What is the standard temperature at sea level?
197,needs_review,,weather,effects on performance,"answer=D, choices=3",Which condition generally results in the best aircraft performance?
198,imported,u6,Weather,"effects on performance, mountain",,The leeward side of a mountain or obstacle is:
199,imported,u6,Weather,"effects on performance, obstructions",,"When flying near natural or man-made obstructions, an unmanned aircraft operator can expect:"
200,imported,u6,Weather,"effects on performance, front",,What environment is most conductive to front formulation?
201,imported,u6,Weather,"effects on performance, high density altititude",,What is the effect of a high-density altitude on aircraft performance?
203,imported,u7,Loading & Performance,loading and performance,,Why is it unsafe to fly an unmanned aircraft at or near its maximum takeoff weight?
204,imported,u7,Loading & Performance,loading and performance,,"For commercial off‑the‑shelf aircraft with fixed, manufacturer‑approved payloads, which loading action is typically not required prior to fl"
205,imported,u7,Loading & Performance,loading and performance,,Which of the following reduces air density and therefore reduces maximum takeoff weight?
206,imported,u7,Loading & Performance,loading and performance,,Which two components are the primary considerations for aircraft balance?
208,imported,u1,Regulations,Registration,,Where must a small unmanned aircraft’s serial number be listed when using either standard remote identification or a broadcast module?
209,imported,u9,Operations,IMSAFE,,What does the IMSAFE checklist help an RPIC to assess before a flight?
210,imported,u9,Operations,Crew Resource Mangement,,What is the purpose of Crew Resource Management (CRM) in aeronautical decision-making?
211,imported,u9,Operations,ADM,,What is the first step in dealing with hazardous attitudes?
212,imported,u9,Operations,ADM,,What does ADM provide to pilots as they handle different situations?
213,imported,u9,Operations,Pave,,"What does the acronym 'PAVE' stand for, and how does it relate to risk management?"
214,skipped_duplicate,,Loading & Performance,loading and performance,first seen at row 206,Which two components are the primary considerations for aircraft balance?
215,imported,u10,Operations,Radio Communications,,What is the primary function of a UNICOM station at a non-towered airport?
216,imported,u10,Operations,Radio Communications,,What is the primary purpose of the Common Traffic Advisory Frequency (CTAF) in aviation?
217,imported,u10,Operations,Radio Communications,,What is the primary function of a MULTICOM frequency in aviation?
218,imported,u10,Operations,Radio Communications,,What is the recommended action for an unmanned aircraft operator flying near a non-towered airport that does not have a UNICOM frequency?
219,imported,u10,Operations,Radio Communications,,What is the primary reason why unmanned aircraft operators should be familiar with airport traffic patterns when monitoring radio traffic?
221,imported,u6,Weather,Effects on Performance clouds,,What are the two types of clouds that pose hazards to unmanned aircraft operators?
222,imported,u6,Weather,Temp inversions,,What is the main difference between a surface-based temperature inversion and a frontal inversion?
223,imported,u6,Weather,icing,,How does icing affect an unmanned aircraft's ability to fly?
224,imported,u6,Weather,clouds,,What is the recommended action for an unmanned aircraft operator if they see stratified clouds during a preflight visual assessment?
225,imported,u5,Weather,visiabilty,,What is the minimum visibility requirement for unmanned flight operations from the ground control station?
226,imported,u6,Weather,thunderstorm stages,,What is the main difference between a cumulus stage and a mature stage of a thunderstorm?
227,imported,u6,Weather,clouds,,What is the main difference between a cumulus cloud and a cumulonimbus cloud?
229,skipped_duplicate,,Weather,wind,first seen at row 141,"While operating around buildings, the Remote Pilot in Command should be aware of the creation of wind gusts that"
231,imported,u3,Airports & Airspace,Class E,,"Refer to FAA-CT-8080-2H, Figure 80, Montrose Regional starts at what altitude?"
232,imported,u3,Airports & Airspace,Class E,,"Refer to FAA-CT-8080-2H, figure 80, Outside dashed magenta lines near Roubideau (Pvt) airport what airspace is from surface up to 700 ft AGL"
233,imported,u3,Airports & Airspace,Class C,,"(Refer to FAA-CT-8080-2H, Figure 69 ,South of Area 5 & North East of Areaa 3) Do you need authorization in the area within the dashed magent"
234,imported,u3,Airports & Airspace,Class E,,"(Refer to FAA-CT-8080-2H, Figure 69, South of Area 1) Do you need authorization inside dashed magenta lines that are intersecting the blue d"
