sheet,row,question,category,sub_category,current_mapped_unit,current_mapped_topic,assigned_unit_id,assigned_sub_unit_id,assigned_unit_name,final_exam_only,classified_by,suggested_mapped_unit,suggested_mapped_topic,suggested_action,notes
end-of-unit,102,"Upon request, the RPIC must present which document?",Regulations,Slide 27 – Inspection & Compliance,Operations,General operations,1,131,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 27 – Inspection & Compliance',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,103,When must a sUAS accident be reported to the FAA?,Regulations,Slide 32 – Accident Reporting,Operations,General operations,1,132,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 32 – Accident Reporting',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,105,Which action is considered reckless under Part 107?,Regulations,Slide 34 – Hazardous Operations,Operations,General operations,1,132,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 34 – Hazardous Operations',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,106,A medical certificate is required to fly under Part 107:,Regulations,Slide 37 – Medical Condition,Operations,General operations,1,133,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 37 – Medical Condition',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,109,Anticollision lights used for night operations must be visible for at least:,Regulations,Slide 46 – Night Operations,Operations,General operations,1,17,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 46 – Night Operations',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,114,"Operations in Class B, C, D, or surface Class E airspace require:",Regulations,Slide 68 – Airspace,Operations,General operations,1,138,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 68 – Airspace',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,115,What is the maximum allowable altitude under Part 107?,Regulations,Slide 74 – Operating Limitations,Operations,General operations,1,139,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 74 – Operating Limitations',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,116,Minimum flight visibility required is:,Regulations,Slide 75 – Visibility & Clouds,Operations,General operations,1,139,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 75 – Visibility & Clouds',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,119,The purpose of Remote ID is to:,Regulations,Slide 91 – Remote ID,Operations,General operations,1,15,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 91 – Remote ID',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,120,Which is NOT a Remote ID compliance method?,Regulations,Slide 93 – Remote ID Compliance,Operations,General operations,1,15,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 93 – Remote ID Compliance',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,121,FAA-Recognized Identification Areas (FRIAs) allow operations:,Regulations,Slide 109 – FRIA,Operations,General operations,1,15,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 109 – FRIA',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
end-of-unit,123,Which category requires an Airworthiness Certificate under Part 21?,Regulations,Slide 125 – Category 4,Operations,General operations,1,16,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Slide 125 – Category 4',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,2,What regulation governs access to SIDA areas?,Airports & Airspace,Airport Operations,Operations,General operations,4,45,Unit 4 — Airport Operations,,keyword[Security/Wildlife] (cat=A&A),Operations,Airport operations and traffic patterns,Replace K/L,Airport ops (Unit 4)
test,7,"(Refer to FAA-CT-8080-2H, Figure 12.) Which stations are reporting weather that would prohibit UAS operations?",weather,"Sources, Metar",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,category=Weather / sub=METAR → FINAL_EXAM,Weather and Weather Sources,METAR interpretation,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
test,9,"(Refer to FAA-CT-8080-2H, Figure 2.) If an unmanned airplane weighs 33 pounds, what approximate weight would the airplane structure be required to support during a 30° banked turn while maintaining altitude?",Loading & Performance,loading and performance,Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,keyword[Banked turn load factor] → FINAL_EXAM,Aircraft Loading and Performance,"Weight, balance, and performance",Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
test,11,"(Refer to FAA-CT-8080-2H, Figure 20, area 2.) Why would the small flag at Lake Drummond of the sectional chart be important to a remote pilot?",Airports & Airspace,Aeronautical Charts,Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,keyword[Charts/Sectional] (cat=A&A) → FINAL_EXAM,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
test,14,"(Refer to FAA-CT-8080-2H, Figure 20, area 5.) How would a remote PIC ""CHECK NOTAMS"" as noted in the CAUTION box regarding the unmarked balloon?",Airports & Airspace,"Overview, NOTAMS",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,keyword[NOTAMs/TFR] (cat=A&A) → FINAL_EXAM,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
test,23,"(Refer to FAA-CT-8080-2H, Figure 25, area 2.) What is the base of Class B airspace at Lakeview (30F) Airport?",Airports & Airspace,"Airspace Classifications,",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,keyword[Class B] (cat=A&A) → FINAL_EXAM,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
test,24,"(Refer to FAA-CT-8080-2H, Figure 25, area 3.) The floor of Class B airspace at Dallas Executive (RBD) is",Airports & Airspace,"Airspace Classifications,",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,keyword[Class B] (cat=A&A) → FINAL_EXAM,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
test,25,"(Refer to FAA-CT-8080-2H, Figure 26, area 2.) While monitoring the Cooperstown CTAF you hear an aircraft announce that they are midfield left downwind to RWY 13. Where would the aircraft be relative to the runway?",Airports & Airspace,"Airspace Classifications,",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,keyword[Traffic Patterns] (cat=A&A) → FINAL_EXAM,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
test,26,"(Refer to FAA-CT-8080-2H, Figure 26, area 4.) You have been hired to inspect the tower under construction at 46.9N and 98.6W, near Jamestown Regional (JMS). What must you receive prior to flying your unmanned aircraft in this area?",Airports & Airspace,"Airspace Classifications,",Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,keyword[NAS/ATC] (cat=A&A) → FINAL_EXAM,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
test,75,(Refer to Figure 78) You have contracted to inspect towers located approximately 4NM South West of the Sioux Gateway (SUX) airport operating an UA. What is the maximum altitude above ground level (AGL) that you are authorized to operate over the top of the towers?,Airports & Airspace,Controlled vs Non controlled Airspace,Operations,General operations,,,FINAL_EXAM (no unit quiz),yes,keyword[Operating limitations] (cat=A&A fallback) → FINAL_EXAM,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Clear K/L or leave blank — final-exam figure question,requires FAA-CT figure (cross-section chart reading)
test,84,A person whose sole task is watching the sUAS to report hazards to the rest of the crew is called:,Regulations,Roles,Operations,General operations,1,12,Unit 1 — Part 107 Regulations,,sub-category=Roles,Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,86,"A remote pilot plans to operate a small UAS from a high-elevation airport on a hot, humid afternoon. What should the pilot expect?",weather,"effects on performance, air density alt, pressure",Operations,General operations,6,61,Unit 6 — Weather Effects on Performance,,category=Weather / sub=Air density/pressure,Weather and Weather Sources,Density altitude & performance,Replace K/L,Unit 6 — Density altitude & performance
test,88,A stable air mass is most likely to have which characteristic,Weather,"effects on performance, atmosheric stability",Operations,General operations,6,631,Unit 6 — Weather Effects on Performance,,keyword[Obstacle / terrain turbulence] (cat=Weather),Weather and Weather Sources,General weather concepts,Replace K/L,Unit 6 — General weather concepts
test,90,A sudden change in wind speed and direction is called what?,weather,"effects on performance, wind",Operations,General operations,6,632,Unit 6 — Weather Effects on Performance,,keyword[Wind shear / microburst] (cat=Weather),Weather and Weather Sources,General weather concepts,Replace K/L,Unit 6 — General weather concepts
test,93,A TAF is for how many hours or what period of time?,Weather,"sources, TAF",Operations,General operations,5,55,Unit 5 — Weather (sources),,category=Weather / sub=TAF,Weather and Weather Sources,TAF interpretation,Replace K/L,Unit 5 — TAF interpretation
test,104,"According to 14 CFR part 107, what is the maximum groundspeed for a small UA?",Regulations,Operating Rules,Operations,General operations,1,139,Unit 1 — Part 107 Regulations,,keyword[Operating limitations] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,105,"According to 14 CFR part 107, who is responsible for determining the performance of a small unmanned aircraft?",Regulations,Roles,Operations,General operations,1,12,Unit 1 — Part 107 Regulations,,sub-category=Roles,Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,107,"According to 14 CFR part 48, when would a small UA owner not be permitted to register it?",Regulations,Regulations,Operations,General operations,1,131,Unit 1 — Part 107 Regulations,,keyword[Registration/Inspection] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,109,"After receiving a part 107 remote pilot certificate with an sUAS rating, how often must you satisfy recurrent training requirements?",Regulations,Operating rules,Operations,General operations,1,12,Unit 1 — Part 107 Regulations,,keyword[Roles & Crew] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,114,An sUAS can fly in a prohibited area because there is no one inside it.,Airports & Airspace,"airspace classifications, Prohibited areas",Operations,General operations,3,332,Unit 3 — Airspace Classifications,,keyword[Prohibited] (cat=A&A),Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Replace K/L,Airspace classification (Unit 3)
test,116,An sUAS operator does not need prior authorization to fly in which airspace?,Airports & Airspace,"Airspace Classifications,",Operations,General operations,3,322,Unit 3 — Airspace Classifications,,keyword[Class B] (cat=A&A),Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Replace K/L,Airspace classification (Unit 3)
test,119,Are sUAS operators required to report bird strikes?,Airports & Airspace,"Airport Operations, wildlife",Operations,General operations,1,,Unit 1 — Part 107 Regulations,,keyword[Generic Part 107] (cat=A&A fallback),Operations,Airport operations and traffic patterns,Replace K/L,Wildlife near airports — Unit 4 (not General operations or Regulations)
test,122,"As landing an sUAS at night is particularly challenging, select a landing area:",Regulations,Flying at Night,Operations,General operations,1,17,Unit 1 — Part 107 Regulations,,keyword[Night ops] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,123,"As part of an overall safety risk assessment for flight, when should the Remote Pilot in Command check and consider weather conditions in the operating area?",Regulations,"Operational Rules, Preflight",Operations,General operations,1,12,Unit 1 — Part 107 Regulations,,keyword[Roles & Crew] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,124,At what angle should a pilot enter the traffic pattern?,Airports & Airspace,"Airport Operations, Traffic Patterns",Operations,General operations,4,43,Unit 4 — Airport Operations,,keyword[Traffic Patterns] (cat=A&A),Operations,Airport operations and traffic patterns,Replace K/L,Airport ops (Unit 4)
test,125,"Before each flight, the Remote Pilot in Command must ensure that:",Regulations,"Operational Rules, Preflight",Operations,General operations,1,12,Unit 1 — Part 107 Regulations,,keyword[Roles & Crew] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,126,"Before flying in a military operations area, an sUAS operator should do what to find out if it is active?",Airports & Airspace,"airspace classifications, MOA",Operations,General operations,2,241,"Unit 2 — Airports, Airspace & Data Sources",,keyword[Charts/Sectional] (cat=A&A),Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Replace K/L,Airports & data sources (Unit 2)
test,128,Category 4 operations are limited to unmanned aircraft:,Regulations,Flying over people and moving objects,Operations,General operations,1,131,Unit 1 — Part 107 Regulations,,keyword[Registration/Inspection] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,131,Damaged lithium batteries can cause,Operations,Maintenance & Inspection Procedures,Operations,General operations,7,,Unit 7 — Loading & Performance,,keyword[Loading/Performance],Aircraft Loading and Performance,"Weight, balance, and performance",Replace K/L,Loading (Unit 7)
test,133,"During a flight of your small UA, you observe a hot air balloon entering the area. You should",Regulations,Operational Rules,Operations,General operations,1,136,Unit 1 — Part 107 Regulations,,keyword[Right-of-way] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,138,"During night operations, compensate for the night blind spot by:",Regulations,Flying at Night,Operations,General operations,1,17,Unit 1 — Part 107 Regulations,,keyword[Night ops] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,139,"During your preflight inspection, you discover a small nick in the casing of your small UAS battery. What action should you take?",Operations,Operations and Procedures,Operations,General operations,1,138,Unit 1 — Part 107 Regulations,,keyword[Preflight/Airspace ops],Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,144,"For Category 3 operations over people, the small unmanned aircraft must not cause injury equivalent to or greater than the impact of:",Regulations,Flying over people and moving objects,Operations,General operations,1,16,Unit 1 — Part 107 Regulations,,keyword[Flying over people] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,150,How far in advance should waiver applications be submitted?,Regulations,Waivers,Operations,General operations,1,14,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Waivers',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,151,How many minutes are in each degree of latitude or longitude?,Airports & Airspace,"Overview, L &L",Operations,General operations,2,22,"Unit 2 — Airports, Airspace & Data Sources",,keyword[Latitude/Longitude] (cat=A&A),Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Replace K/L,Navigation L&L (Unit 2)
test,153,How often are sectional charts covering the continental U.S. updated?,Airports & Airspace,Aeronautical Charts,Operations,General operations,2,241,"Unit 2 — Airports, Airspace & Data Sources",,keyword[Charts/Sectional] (cat=A&A),Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Replace K/L,Charts (Unit 2)
test,164,Lines of latitude,Airports & Airspace,"Overview, L &L",Operations,General operations,2,22,"Unit 2 — Airports, Airspace & Data Sources",,keyword[Latitude/Longitude] (cat=A&A),Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Replace K/L,Navigation L&L (Unit 2)
test,166,Lines of longitude run from the North Pole to the South Pole.,Airports & Airspace,"Overview, L &L",Operations,General operations,2,22,"Unit 2 — Airports, Airspace & Data Sources",,keyword[Latitude/Longitude] (cat=A&A),Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Replace K/L,Navigation L&L (Unit 2)
test,171,One in flight condition necessary for structural icing to form is,Weather,"effects on performance, structural icing",Operations,General operations,6,652,Unit 6 — Weather Effects on Performance,,keyword[Structural icing] (cat=Weather),Weather and Weather Sources,General weather concepts,Replace K/L,Unit 6 — General weather concepts
test,172,One weather phenomenon which will always occur when flying across a front is,Weather,"Effects on Performance, fronts",Operations,General operations,6,671,Unit 6 — Weather Effects on Performance,,keyword[Fronts] (cat=Weather),Weather and Weather Sources,General weather concepts,Replace K/L,Unit 6 — General weather concepts
test,176,Part 89 Remote Identification (Remote ID) requirements:,Regulations,Remote ID,Operations,General operations,1,15,Unit 1 — Part 107 Regulations,,category=Regulations / sub='Remote ID',Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,186,Scheduled maintenance should be performed in accordance with the:,Additional topics,Maintenance & Inspection Procedures,Operations,General operations,9,95,Unit 9 — Aeronautical Decision Making,,keyword[Maintenance],Operations,Aeronautical decision-making and risk management,Replace K/L,ADM (Unit 9)
test,189,The cloud ceiling is at 800ft. What is the highest you can operate your drone?,Regulations,Operational Rules,Operations,General operations,1,139,Unit 1 — Part 107 Regulations,,keyword[Operating limitations] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,195,The most comprehensive source of airport information is,Airports & Airspace,Airports data sources,Operations,General operations,2,23,"Unit 2 — Airports, Airspace & Data Sources",,keyword[Data sources] (cat=A&A),Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Replace K/L,Airports & data sources (Unit 2)
test,203,The U.S. Air Force is operating an atmospheric research sUAS over Texas oil fields. Must it comply with Part 107?,Regulations,Operational Rules,Operations,General operations,1,11,Unit 1 — Part 107 Regulations,,keyword[Public aircraft exclusion] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,204,Thunderstorms which generally produce the most intense hazards to aircraft are,Weather,"effects on performance, thunderstorms",Operations,General operations,6,66,Unit 6 — Weather Effects on Performance,,keyword[Thunderstorms (generic)] (cat=Weather),Weather and Weather Sources,General weather concepts,Replace K/L,Unit 6 — General weather concepts
test,205,"To avoid a possible collision with a manned airplane, you estimate that your small UA climbed to an altitude greater than 600 feet AGL. To whom must you report the deviation?",Regulations,Operational Rules,Operations,General operations,1,139,Unit 1 — Part 107 Regulations,,keyword[Operating limitations] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,206,"To conduct Category 1 operations over people, the small unmanned aircraft:",Regulations,Flying over people and moving objects,Operations,General operations,1,15,Unit 1 — Part 107 Regulations,,keyword[Remote ID] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,207,"To ensure that the unmanned aircraft center of gravity (CG) limits are not exceeded, follow the aircraft loading instructions specified in the",Loading & Performance,loading and performance,Operations,General operations,2,23,"Unit 2 — Airports, Airspace & Data Sources",,keyword[Data sources],Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization,Replace K/L,Airports & data sources (Unit 2)
test,208,"To keep the small unmanned aircraft in the intended area and within visual line-of-sight (VLOS) during night operations, the Remote Pilot in Command:",Regulations,Flying at Night,Operations,General operations,1,12,Unit 1 — Part 107 Regulations,,keyword[Roles & Crew] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,209,Towered airports have,Airports & Airspace,Airport Operations,Operations,General operations,4,421,Unit 4 — Airport Operations,,keyword[Towered/Non-towered procedures] (cat=A&A),Operations,Airport operations and traffic patterns,Replace K/L,Airport ops (Unit 4)
test,213,Under what condition should the Remote Pilot in Command of a small unmanned aircraft develop his or her own scheduled maintenance protocol?,Regulations,"Operations, Maintenance & Inspection Procedures",Operations,General operations,1,12,Unit 1 — Part 107 Regulations,,keyword[Roles & Crew] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,214,Under what condition would a small UA not have to be registered before it is operated in the United States?,Regulations,Operations,Operations,General operations,1,131,Unit 1 — Part 107 Regulations,,keyword[Registration/Inspection] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,216,"Upon request by the FAA, the remote pilot-in-command must provide",Regulations,"Regulations, Operational Rules",Operations,General operations,1,12,Unit 1 — Part 107 Regulations,,keyword[Roles & Crew] (cat=Regulations),Regulations,Part 107 regulations and compliance,Replace K/L,Clear General operations; Category=Regulations
test,221,What actions should the operator of an sUAS do if the manufacturer does not provide information about scheduled maintenance?,Additional topics,Maintenance & Inspection Procedures,Operations,General operations,9,95,Unit 9 — Aeronautical Decision Making,,keyword[Maintenance],Operations,Aeronautical decision-making and risk management,Replace K/L,ADM (Unit 9)
