sheet,row,category,sub_category,unit_id,unit_title,section_id,section_title,lesson_id,lesson_title,tree_depth,maps_to_leaf,sub_unit_id,course_path,match_score,topical_unit_id,final_exam_only,final_exam_reason,classified_by,needs_review,review_reason,attention_reason,source_file,answer,question
test,165,,"Overview, L &L",2,"Airports, Airspace, and Data Sources",,,22,Navigation: Latitude and Longitude,2,yes,22,"Airports, Airspace, and Data Sources > Navigation: Latitude and Longitude",3.00,,,,sub_category_exact,,,blank spreadsheet category (col H),Airports & airspace Slides 1-30 - key- chat,B,Lines of latitude run
test,167,,"Overview, L &L",2,"Airports, Airspace, and Data Sources",,,22,Navigation: Latitude and Longitude,2,yes,22,"Airports, Airspace, and Data Sources > Navigation: Latitude and Longitude",3.00,,,,sub_category_exact,,,blank spreadsheet category (col H),Airports & airspace Slides 1-30 - key- chat,C,Lines of longitude start at
test,174,Regulations,Operating Rules,1,PART 107 REGULATIONS,,,11,Applicability of Part 107,2,yes,11,Unit 1 (unscoped),0.40,,,,fallback_keyword[Applicability definitions],yes,Matched unit but not a specific lesson,Matched unit but not a specific lesson; fallback_keyword[Applicability definitions],more drone prep questions,B,Part 107 applies to which operations?
test,190,,"Overview, L &L",2,"Airports, Airspace, and Data Sources",,,22,Navigation: Latitude and Longitude,2,yes,22,"Airports, Airspace, and Data Sources > Navigation: Latitude and Longitude",3.00,,,,sub_category_exact,,,blank spreadsheet category (col H),Airports & airspace Slides 1-30 - key- chat,B,The continental U.S. lies between which degrees of latitude?
test,211,Regulations,Roles,1,,,,,,,,,Unit 1 (unscoped),0.40,,,,fallback_keyword[Generic Part 107],yes,Matched unit but not a specific lesson,Matched unit but not a specific lesson; quiz-scoped: missing unit_id or sub_unit_id; fallback_keyword[Generic Part 107],Regulations test - key 27 questions,C,"Under Part 107, who holds final authority over the operation of the sUAS?"
end-of-unit,85,,Sectional & Terminal Charts,2,"Airports, Airspace, and Data Sources",23,Four Essential Airport Data Sources,241,Sectional Charts,4,yes,241,"Airports, Airspace, and Data Sources > Four Essential Airport Data Sources > Aeronautical Charts: Types and Interpretation > Sectional Charts",3.00,,,,sub_category_exact,,,blank spreadsheet category (col H),Airports & airspace Slides 1-30 - key- chat,B,What are the two types of aeronautical charts relevant to sUAS operators?
test,346,Regulations,Operating Rules,1,,,,,,,,,Unit 1 (unscoped),0.40,,,,fallback_keyword[Generic Part 107],yes,Matched unit but not a specific lesson,Matched unit but not a specific lesson; quiz-scoped: missing unit_id or sub_unit_id; fallback_keyword[Generic Part 107],Section 4 airports & airspace ws key chat,C,What should an sUAS operator do if a manned aircraft is approaching the area?
test,347,Weather,Operating Rules,5,WEATHER,53,Aviation Routine Weather Report (METAR) Decoding,531,"Report Type, Station, Date, and Time",3,yes,531,"WEATHER > Aviation Routine Weather Report (METAR) Decoding > Report Type, Station, Date, and Time",1.36,,,,course_path_tokens,yes,Low confidence path match,Low confidence path match,Remaining Weather questions for James,B,What should be obtained by the RPIC in order to receive a complete weather overview for the planned flight.
test,356,Airports & Airspace,Airport Classificatons,3,Airspace Classifications,32,Controlled Airspace Overview,321,Class A Airspace,3,yes,321,Airspace Classifications > Controlled Airspace Overview > Class A Airspace,1.36,,,,course_path_tokens,yes,Low confidence path match,Low confidence path match,more drone prep questions,A,"When a control tower located on an airport within Class D airspace ceases operation for the day, what happens to the airspace designation?"
end-of-unit,96,Regulations,Slide 12 – RPIC Duties,1,,,,,,,,,Unit 1 (unscoped),0.40,,,,fallback_keyword[Generic Part 107],yes,Matched unit but not a specific lesson,Matched unit but not a specific lesson; quiz-scoped: missing unit_id or sub_unit_id; fallback_keyword[Generic Part 107],,B,Which action is required before each flight under Part 107?
test,406,Regulations,Roles,1,,,,,,,,,Unit 1 (unscoped),0.40,,,,category_unit_only,yes,Matched unit but not a specific lesson,"Matched unit but not a specific lesson; quiz-scoped: missing unit_id or sub_unit_id; matched unit only, no specific lesson",Regulations test - key 27 questions,C,Which of the following statements about Visual Observers (VOs) is correct?
end-of-unit,94,Regulations,Slide 9 – 10 Roles,1,,,,,,,,,Unit 1 (unscoped),0.40,,,,category_unit_only,yes,Matched unit but not a specific lesson,"Matched unit but not a specific lesson; quiz-scoped: missing unit_id or sub_unit_id; matched unit only, no specific lesson",,C,Which role has final authority and responsibility for a Part 107 operation?
test,417,Regulations,Roles,1,,,,,,,,,Unit 1 (unscoped),0.40,,,,fallback_keyword[Generic Part 107],yes,Matched unit but not a specific lesson,Matched unit but not a specific lesson; quiz-scoped: missing unit_id or sub_unit_id; fallback_keyword[Generic Part 107],more drone prep questions,B,Which statement about visual observers under Part 107 is true?
end-of-unit,78,,,1,,,,,,,,,,,,,,fallback_keyword[Generic Part 107],yes,No course path match,No course path match; quiz-scoped: missing unit_id or sub_unit_id; blank spreadsheet category (col H); blank spreadsheet sub_category (col I); fallback_keyword[Generic Part 107],Airports & airspace Slides 1-30 - key- chat,B,What should sUAS operators be aware of when operating within 5 miles of an airport?
end-of-unit,149,Additional Topics,,4,AIRPORT OPERATIONS,,,421,Towered vs. Non-Towered Airport Procedures,2,yes,421,,,,,,fallback_keyword[Towered/Non-towered procedures],yes,No course path match,No course path match; blank spreadsheet sub_category (col I); fallback_keyword[Towered/Non-towered procedures],My new questions May9,C,What is the primary purpose of the Common Traffic Advisory Frequency (CTAF) in aviation?
end-of-unit,150,Additional Topics,,4,AIRPORT OPERATIONS,,,421,Towered vs. Non-Towered Airport Procedures,2,yes,421,,,,,,fallback_keyword[Towered/Non-towered procedures],yes,No course path match,No course path match; blank spreadsheet sub_category (col I); fallback_keyword[Towered/Non-towered procedures],My new questions May9,C,What is the primary function of a MULTICOM frequency in aviation?
